beer_name,beer_type,beer_abv,beer_ibu,rating_score,global_rating_score,photo_url
Erdinger Pikantus,Bock - Weizenbock,7.3,10,3.5,3.62,https://untappd.s3.amazonaws.com/photo/2015_12_26/25adbadb7792c5b0fc45719f172f1942_raw.jpg
Adlerkönig Urtyp Hell,Lager - Helles,4.7,20,3.0,3.24,https://untappd.s3.amazonaws.com/photo/2015_12_27/9b920a552ad138c9539815a56c011d09_raw.jpg
GutBier Янтарное,Lager - Vienna,5.2,0,3.0,3.09,https://untappd.s3.amazonaws.com/photo/2015_12_27/32fa817d6b4066419ab64e4fa5e2376c_raw.jpg
König Ludwig Weissbier Hell / Royal Bavarian Hefe-Weizen,Hefeweizen,5.5,15,3.5,3.58,https://untappd.s3.amazonaws.com/photo/2016_01_01/e56a4ee95ccb537de1bfdec4a225195d_raw.jpg
Original,Lager - Euro Pale,4.8,22,3.0,2.97,https://untappd.s3.amazonaws.com/photo/2016_01_01/0a60e087a45ad23fd14275e1b8aa06da_raw.jpg
La Loba Cerveza Libre,IPA - English,6.0,42,2.75,3.3,https://untappd.s3.amazonaws.com/photo/2016_01_01/0f6ecd75de737d7aa9c63f6afc08198a_raw.jpg
Imperial IPA,IPA - Imperial / Double,7.0,75,4.0,3.48,https://untappd.s3.amazonaws.com/photo/2016_01_01/529f9c58c1f51a8bba433567a96ca506_raw.jpg
Shipa,IPA - English,5.5,70,3.0,3.49,https://untappd.s3.amazonaws.com/photo/2016_01_01/14e01f7c734777b31574f4de92a5688f_raw.jpg
Budweiser Budvar B:DARK / Czechvar B:DARK,Lager - Euro Dark,4.7,24,2.25,3.3,0
Kéményseprő,Lager - Dark,6.0,0,3.25,3.38,https://untappd.s3.amazonaws.com/photo/2016_01_06/68812cf39a496de8c73a25e954858904_raw.jpg
Kaiser Fasstyp / Kaiser Bier,Lager - Helles,5.0,0,2.0,3.07,https://untappd.s3.amazonaws.com/photo/2016_01_06/8a85e890fb5d63d1241d889fd84c6e96_raw.jpg
Corsendonk Agnus Tripel / Abbey Pale Ale,Belgian Tripel,7.5,30,4.0,3.65,https://untappd.s3.amazonaws.com/photo/2016_01_06/cc6ba040fabf59cb140cac2d0460dffb_raw.jpg
Jever Pilsener,Pilsner - German,4.9,33,3.75,3.14,https://untappd.s3.amazonaws.com/photo/2016_01_06/a89ac96c86496e20a2404ccb2a2b5ba0_raw.jpg
HELL,Lager - Helles,5.5,25,3.5,3.41,https://untappd.s3.amazonaws.com/photo/2016_01_06/3732e74ebf72ef64b3215723cbf99679_raw.jpg
Kilkenny,Red Ale - Irish,4.3,0,3.5,3.4,https://untappd.s3.amazonaws.com/photo/2016_01_06/480f7c7b5e4b702ddfc91cfba650645c_raw.jpg
Kriek,Lambic - Kriek,5.1,10,2.0,3.17,https://untappd.s3.amazonaws.com/photo/2016_01_06/19db94e9976b2942e2ddc37aec032603_raw.jpg
Zlatý Bažant 12%,Pilsner - Czech,4.7,0,2.5,3.04,0
Gösser NaturRadler,Shandy / Radler,2.0,0,1.0,3.61,https://untappd.s3.amazonaws.com/photo/2016_01_06/009849895bf692e6cfc4783833af8914_raw.jpg
Dreher Classic,Lager - Helles,5.2,0,2.5,2.91,https://untappd.s3.amazonaws.com/photo/2016_01_06/5380193f016706703da7aabc48457772_raw.jpg
Kelt 10%,Pilsner - Czech,4.1,0,3.25,2.77,https://untappd.s3.amazonaws.com/photo/2016_01_07/b83cd4d582dfdcf6781b84fe1570ff40_raw.jpg
Zlatý Bažant 12%,Pilsner - Czech,4.7,0,3.25,3.04,https://untappd.s3.amazonaws.com/photo/2016_01_07/eafb317feeb1774e3f5ebd39c2ee663c_raw.jpg
Oxfordshire Blue,Extra Special / Strong Bitter,5.0,0,3.5,3.37,https://untappd.s3.amazonaws.com/photo/2016_01_08/64d5157fda353a0fb59aa113aaaedae8_raw.jpg
IPA,IPA - English,5.5,41,3.5,3.26,https://untappd.s3.amazonaws.com/photo/2016_01_08/4e9b8f49f22656aa70e51b9675d0bbc1_raw.jpg
Unfiltered Lager (Nefiltrovaná 12),Pilsner - Czech,5.0,34,4.25,3.34,https://untappd.s3.amazonaws.com/photo/2016_01_08/d9dd252669efcc914ab0c6befadd0ee9_raw.jpg
Bernard s Těžkou Hlavou OX,Lager - Pale,5.8,0,3.25,3.19,https://untappd.s3.amazonaws.com/photo/2016_01_08/0270808a9b52ace347175165567dc1c6_raw.jpg
Guns &  Hops (Cover Series),IPA - Imperial / Double,9.0,150,4.25,3.75,https://untappd.s3.amazonaws.com/photo/2016_01_16/422d77f27f9aaf7a92803496065cb1f5_raw.jpg
Brutal IPA,IPA - American,6.2,46,3.75,3.68,https://untappd.s3.amazonaws.com/photo/2016_01_16/1b5ce49796384a97b5f11f94788ce13d_raw.jpg
Crooked Moon dIPA,IPA - Imperial / Double,9.0,85,3.25,3.9,https://untappd.s3.amazonaws.com/photo/2016_01_16/31a96b07b7bc93640d6177e187a26c1f_raw.jpg
Viento Sur,Pilsner - Other,4.8,0,3.75,3.21,https://untappd.s3.amazonaws.com/photo/2016_01_16/0f676c76f5720da1d60723ad2a442cb5_raw.jpg
Trigo Hoppy,IPA - White,5.2,45,0.25,3.65,https://untappd.s3.amazonaws.com/photo/2016_01_16/597da7cc06acbc713adaf5d83ab70a02_raw.jpg
BNN,Dunkelweizen,3.6,13,0.25,2.69,https://untappd.s3.amazonaws.com/photo/2016_01_16/e53fa91069ad5787282f2cb54eb34fd4_raw.jpg
Pale Armadillo,IPA - Session / India Session Ale,3.8,25,4.25,3.55,https://untappd.s3.amazonaws.com/photo/2016_01_16/8a1f42215aa352a580f32331e6c0e3cf_raw.jpg
Centennial IPA,IPA - American,7.2,65,4.0,3.77,https://untappd.s3.amazonaws.com/photo/2016_01_16/aa13bd6afeeac1f15fb5654340d90219_raw.jpg
Ottakringer Helles,Lager - Helles,5.2,0,3.5,3.07,https://untappd.s3.amazonaws.com/photo/2016_01_16/0d6ee50d080768c95ded7770d74cc135_raw.jpg
Wieselburger Gold,Lager - Helles,5.0,0,3.5,3.1,https://untappd.s3.amazonaws.com/photo/2016_01_16/8e629eb1c762f111654a1815dfa9ccde_raw.jpg
Zámocký Polotomavé 14°,Lager - Vienna,5.0,0,0.25,3.34,https://untappd.s3.amazonaws.com/photo/2016_01_16/1455b8ce35017bfde0b3988c6e245401_raw.jpg
Zámocké Tmavé 13,Lager - Dark,0.0,0,0.25,3.42,https://untappd.s3.amazonaws.com/photo/2016_01_16/dc2a97a2c00d3204b7dd91e60b640ca4_raw.jpg
Gold Fassl Zwickl,Kellerbier / Zwickelbier,5.2,0,3.5,3.36,https://untappd.s3.amazonaws.com/photo/2016_01_16/fae9980315d0449eb042bd7cc628380c_raw.jpg
Zlatý Bažant Tmavé 10%,Lager - Dark,3.8,0,3.0,3.17,https://untappd.s3.amazonaws.com/photo/2016_01_16/bb7800381db9e4d92048d3952db91383_raw.jpg
Únětické Pivo 10°,Pilsner - Czech,3.8,0,4.5,3.35,https://untappd.s3.amazonaws.com/photo/2016_01_16/73eb3adfd1f6951ab3bcaeed0d185ffa_raw.jpg
