beer_name,beer_type,beer_abv,beer_ibu,rating_score,global_rating_score,photo_url
Strong Pale Ale,Strong Ale - English,6.2,0,3.25,3.36,https://untappd.s3.amazonaws.com/photo/2013_11_19/8e20eac7bc81f22d2b0db1eb9ae61bd8_raw.jpg
Ambar 1900,Pale Ale - English,4.8,21,2.0,2.87,https://untappd.s3.amazonaws.com/photo/2013_11_20/2a8d66b4973e8aa55401289ad8c1d77b_raw.jpg
Tsingtao,Lager - Pale,4.7,25,2.5,2.87,https://untappd.s3.amazonaws.com/photo/2013_11_20/35485a0fc12647a7555763f833c62019_raw.jpg
It's StillWeisse,Sour - Berliner Weisse,3.0,0,3.5,3.39,https://untappd.s3.amazonaws.com/photo/2013_11_22/e1f357ac60502e0b2259a6726b629982_raw.jpg
La Chouffe Blond,Belgian Strong Golden Ale,8.0,20,4.5,3.84,https://untappd.s3.amazonaws.com/photo/2013_11_22/e9dec58f4db5b2d3855182ef7a852a8c_raw.jpg
Old Empire IPA,IPA - English,5.7,35,4.0,3.28,https://untappd.s3.amazonaws.com/photo/2013_11_22/7cf65266d458b518d783668c7564fdc2_raw.jpg
Original (TAP07),Hefeweizen,5.4,14,3.5,3.69,https://untappd.s3.amazonaws.com/photo/2013_11_23/5448537333da058489da41e202f1406e_raw.jpg
Mongozo Premium Pilsener,Gluten-Free,5.0,0,2.5,2.84,https://untappd.s3.amazonaws.com/photo/2013_11_23/bebd13a7187a587c6f07a3c01b36d508_raw.jpg
Baltika #7 Export / Балтика #7 Экспортное,Lager - Dortmunder / Export,5.4,14,3.5,3.02,https://untappd.s3.amazonaws.com/photo/2013_11_24/f85d4c3ae709cbd08d68b65f2a52d2b7_raw.jpg
Carlsberg,Lager - Euro Pale,5.0,8,2.5,2.97,https://untappd.s3.amazonaws.com/photo/2013_11_24/0cbdf20d617656b0696f9dc82a2c66a6_raw.jpg
Baltika #7 Export / Балтика #7 Экспортное,Lager - Dortmunder / Export,5.4,14,3.5,3.02,https://untappd.s3.amazonaws.com/photo/2013_11_24/94adc0f9cea50c9ab368307d909b37f1_raw.jpg
Baltika #9 Strong / Балтика #9 Крепкое,Lager - Strong,8.0,18,3.5,2.99,https://untappd.s3.amazonaws.com/photo/2013_11_24/81c96d4c5f34f60e385d9dea5ee5056d_raw.jpg
Stare Misto (Старе Місто),Lager - Dortmunder / Export,4.8,0,3.0,2.87,https://untappd.s3.amazonaws.com/photo/2013_11_24/a5bdb4e83c8d7fbc1b8ba6e8351466a9_raw.jpg
Mahou Clásica,Lager - Pale,4.8,0,2.5,2.81,https://untappd.s3.amazonaws.com/photo/2013_11_27/4b0168615432385e883aeb91f3245c2d_raw.jpg
DAB Export / Dortmunder Export,Lager - Dortmunder / Export,5.0,23,3.0,3.05,https://untappd.s3.amazonaws.com/photo/2013_11_30/7c0c7cec6c582d28c140d7bf00fd46af_raw.jpg
Smashbomb Atomic IPA,IPA - American,6.0,72,4.5,3.66,https://untappd.s3.amazonaws.com/photo/2013_11_30/972621d6a77d46c1d1c51a4eaf02dca6_raw.jpg
Weizenbock,Bock - Weizenbock,10.5,22,3.0,3.75,https://untappd.s3.amazonaws.com/photo/2013_11_30/49b659849bd932494d4fd4a49896b37e_raw.jpg
San Miguel,Lager - Euro Pale,5.0,4,1.5,2.95,0
Alhambra Tradicional,Lager - Euro Pale,4.6,0,2.5,2.85,https://untappd.s3.amazonaws.com/photo/2013_12_05/3eb977a08d97b9bd3b1801be294f9b54_raw.jpg
Amstel,Lager - Euro Pale,5.0,21,2.0,2.85,https://untappd.s3.amazonaws.com/photo/2013_12_05/ef077759aa38d1f9ea34b8af37856f6a_raw.jpg
Estrella Damm,Lager - Pale,5.4,21,2.0,3.1,https://untappd.s3.amazonaws.com/photo/2013_12_07/2590bd6812da247fe7ae1d9c527b8621_raw.jpg
Mahou Cinco Estrellas,Lager - Pale,5.5,27,2.5,2.93,https://untappd.s3.amazonaws.com/photo/2013_12_07/9e40206465bc39c35f9196753f4e50f2_raw.jpg
Mahou Cinco Estrellas,Lager - Pale,5.5,27,2.5,2.93,https://untappd.s3.amazonaws.com/photo/2013_12_07/83b0acede3e1346a1c0a2dce9c3b7cf3_raw.jpg
Cruzcampo Pilsen,Pilsner - Other,4.8,20,2.5,2.76,https://untappd.s3.amazonaws.com/photo/2013_12_10/af3716149555f7509553c0435ab3d559_raw.jpg
Alhambra Especial,Lager - Euro Pale,5.4,17,3.0,3.03,https://untappd.s3.amazonaws.com/photo/2013_12_11/13d03da82a39d5d9a14508fc7017be3d_raw.jpg
Estrella Galicia Especial,Lager - Helles,5.5,25,3.5,3.12,https://untappd.s3.amazonaws.com/photo/2013_12_11/a70640ba381b24ff255fe13e7e7054df_raw.jpg
Fyr & Flamme,IPA - American,6.5,66,4.5,3.75,https://untappd.s3.amazonaws.com/photo/2013_12_12/9ede80147f707bcf1e485d97cd80ac5c_raw.jpg
Poperings Hommelbier,Belgian Strong Golden Ale,7.5,40,4.0,3.49,https://untappd.s3.amazonaws.com/photo/2013_12_12/890b27a688ea224697b4ff16d4adc016_raw.jpg
Faro,Lambic - Faro,4.5,12,4.0,3.49,https://untappd.s3.amazonaws.com/photo/2013_12_12/60aa385f1b5ceaa40b74c85e2543fd55_raw.jpg
Hoegaarden Wit / Blanche,Wheat Beer - Witbier,4.9,15,4.0,3.56,https://untappd.s3.amazonaws.com/photo/2013_12_12/e1b063e2b072b407fbffe69955ebc801_raw.jpg
Estrella Galicia Especial,Lager - Helles,5.5,25,3.5,3.12,https://untappd.s3.amazonaws.com/photo/2013_12_13/2cf399756464538252da6826252198fc_raw.jpg
Krušovice Imperial 5.0%,Pilsner - Czech,5.0,28,4.0,3.15,0
Hop Ottin' IPA,IPA - American,7.0,80,4.0,3.56,https://untappd.s3.amazonaws.com/photo/2013_12_15/1859d4727d4b2f2b5caa4f30bd309133_raw.jpg
Rubia,Pale Ale - English,4.5,0,3.5,3.13,https://untappd.s3.amazonaws.com/photo/2013_12_15/d4f0b12a35472ae07ce53bd4ae6a82de_raw.jpg
Mary,Barleywine - English,9.6,0,3.5,3.51,0
Burro de Sancho Rubia Ale,Blonde Ale,5.0,0,3.0,3.19,https://untappd.s3.amazonaws.com/photo/2013_12_15/bfe1ae1fe808807a76c4b295070f26f4_raw.jpg
India Pale Ale,IPA - English,5.5,23,3.0,3.2,https://untappd.s3.amazonaws.com/photo/2013_12_15/099ba3c1a73ee3f5022155872a823d3b_raw.jpg
Old Foghorn,Barleywine - American,8.2,52,4.0,3.61,https://untappd.s3.amazonaws.com/photo/2013_12_16/aa8b5eb994be24fcc7ced602fbf3ac86_raw.jpg
BierCaB Pale Ale,Pale Ale - American,3.0,0,4.5,3.49,https://untappd.s3.amazonaws.com/photo/2013_12_16/14884d7f01c91850d880aea1958aea73_raw.jpg
942 IPA,IPA - American,7.0,51,4.25,3.81,https://untappd.s3.amazonaws.com/photo/2013_12_17/e70df0d922d1a08f17833b55568abf48_raw.jpg
Imperial IPA,IPA - Imperial / Double,7.0,75,4.0,3.48,https://untappd.s3.amazonaws.com/photo/2013_12_19/48b52a24f1a02243414f936511b53be6_raw.jpg
Ambar Especial,Gluten-Free,5.2,0,3.5,2.84,https://untappd.s3.amazonaws.com/photo/2013_12_20/519d274e54b878e6d653f409c74332f4_raw.jpg
Hardcore IPA,IPA - Imperial / Double,9.2,150,3.0,3.92,https://untappd.s3.amazonaws.com/photo/2013_12_21/b5843be317a84ec16735cc2570120321_raw.jpg
Marlen Beer De Luxe,Lager - Dortmunder / Export,5.8,0,3.5,2.82,https://untappd.s3.amazonaws.com/photo/2013_12_21/c3e474e7995477792eb1d994a66b1e0e_raw.jpg
Ambar Export,Bock - Single / Traditional,7.0,0,4.0,3.11,https://untappd.s3.amazonaws.com/photo/2013_12_21/d93bc6310dafe14a1a1902f6edcf437e_raw.jpg
Baltika #7 Export / Балтика #7 Экспортное,Lager - Dortmunder / Export,5.4,14,3.5,3.02,0
Gulden Draak Classic,Belgian Strong Dark Ale,10.5,30,4.0,3.82,https://untappd.s3.amazonaws.com/photo/2013_12_23/1eae8fd11b8e5885c9a935f6035861c4_raw.jpg
Cusqueña Dorada,Lager - Pale,5.0,25,3.5,3.1,https://untappd.s3.amazonaws.com/photo/2013_12_23/11b6c20dfb4d24a63ce77a6116aa040e_raw.jpg
Heineken,Lager - Euro Pale,5.0,19,1.5,2.93,https://untappd.s3.amazonaws.com/photo/2013_12_24/a33ed58de0ca170cad33e5092e5a7ac5_raw.jpg
Cruzcampo Gran Reserva,Pilsner - Imperial / Double,6.4,0,3.5,3.11,https://untappd.s3.amazonaws.com/photo/2013_12_25/98d4e232f861402a2cd966a0028b2b91_raw.jpg
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,https://untappd.s3.amazonaws.com/photo/2013_12_27/1afa3c2803790d0a504e199927a9ae0b_raw.jpg
1906 Reserva Especial,Bock - Hell / Maibock / Lentebock,6.5,25,3.0,3.35,https://untappd.s3.amazonaws.com/photo/2013_12_27/7a479e59d5ad0514dba7de9c3afda36c_raw.jpg
Lech Premium,Lager - Pale,4.8,16,3.0,2.98,https://untappd.s3.amazonaws.com/photo/2013_12_29/a675e767d877f62f3abc75a5dd859d63_raw.jpg
Żywiec,Lager - Pale,5.6,24,3.5,3.09,https://untappd.s3.amazonaws.com/photo/2013_12_29/9d1d544724f6fb84768db8abb1bd91e9_raw.jpg
Duchesse de Bourgogne,Sour - Flanders Red Ale,6.2,11,5.0,3.72,https://untappd.s3.amazonaws.com/photo/2013_12_31/e55d6517860b80188f9888e24ab6db5f_raw.jpg
Oud Bruin,Sour - Flanders Oud Bruin,5.0,0,5.0,3.47,https://untappd.s3.amazonaws.com/photo/2013_12_31/5f6e29979933b3ae0319dd3f72ed94c8_raw.jpg
Blanche de Namur,Wheat Beer - Witbier,4.5,11,3.0,3.43,https://untappd.s3.amazonaws.com/photo/2013_12_31/7434951993131450e35743fdf5d21801_raw.jpg
Galaxy IPA,IPA - American,6.5,100,4.0,3.58,https://untappd.s3.amazonaws.com/photo/2013_12_31/91549159e85fa997d472b107c540dcc6_raw.jpg
Rye IPA,IPA - Rye,8.5,60,5.0,3.76,https://untappd.s3.amazonaws.com/photo/2014_01_01/256ac3a5575b4220ed5a510d9589ce6a_raw.jpg
Petrus Aged Pale,Sour - Other,7.3,24,3.0,3.65,https://untappd.s3.amazonaws.com/photo/2014_01_01/77fbde22d95dd8dbaff2930507309cd9_raw.jpg
Weihenstephaner Hefeweissbier,Hefeweizen,5.4,14,2.5,3.8,https://untappd.s3.amazonaws.com/photo/2014_01_01/e8defb0a234149840edf43dae9c04b5a_raw.jpg
Erzulie,Barleywine - American,13.0,0,4.0,3.52,https://untappd.s3.amazonaws.com/photo/2014_01_02/62101d0a37c02af783ce3cd48655d6c0_raw.jpg
India Pale Ale Galaxy,IPA - American,6.9,0,4.5,3.9,https://untappd.s3.amazonaws.com/photo/2014_01_02/6f0a3ae4982ad5b3af436d4e9d3a22da_raw.jpg
3 Fonteinen Oude Geuze,Lambic - Gueuze,6.0,0,5.0,4.09,https://untappd.s3.amazonaws.com/photo/2014_01_02/670b6c15bbc34b96b938324c93f7fd71_raw.jpg
Hobgoblin Legendary Ruby Beer,Brown Ale - English,5.2,32,4.0,3.43,https://untappd.s3.amazonaws.com/photo/2014_01_03/977b3ea0283cd019e5025e58ce98ed64_raw.jpg
Trooper,Extra Special / Strong Bitter,4.7,35,5.0,3.37,https://untappd.s3.amazonaws.com/photo/2014_01_03/3757ee4066565d96cef48e8e950858fb_raw.jpg
IPA Dry Hopping,IPA - English,5.1,0,4.0,3.28,https://untappd.s3.amazonaws.com/photo/2014_01_04/80305b01532a0b0da285a3c3558d1a3b_raw.jpg
Best Bitter,English Bitter,3.7,0,3.0,3.34,https://untappd.s3.amazonaws.com/photo/2014_01_05/77fad59e6c24271b6a50a1409ef2902a_raw.jpg
Carling,Lager - Pale,4.0,0,2.5,2.59,0
DAB Export / Dortmunder Export,Lager - Dortmunder / Export,5.0,23,3.0,3.05,0
Timmermans Oude Gueuze,Lambic - Gueuze,5.5,0,4.0,3.84,0
Alhambra Reserva 1925,Lager - Strong,6.4,25,3.5,3.33,0
Alhambra Reserva 1925,Lager - Strong,6.4,25,3.5,3.33,0
Martin's IPA 44,IPA - Belgian,6.9,0,5.0,3.32,https://untappd.s3.amazonaws.com/photo/2014_01_07/cbfdf31cd2547e39e86f45932054594d_raw.jpg
Gouden Carolus Christmas / Noël,Belgian Strong Dark Ale,10.5,11,2.5,3.6,0
Rye IPA,IPA - Rye,8.5,60,4.5,3.76,0
Baltika #5 Gold / Балтика #5 Золотое,Lager - Euro Pale,5.3,10,2.0,2.95,0
Kentucky Common,Kentucky Common,6.5,0,4.5,3.79,0
Krombacher Pils,Pilsner - German,4.8,24,3.0,3.25,0
San Miguel 1516,Lager - Pale,4.2,0,3.0,2.83,0
High Wire,Pale Ale - American,5.5,50,4.0,3.7,0
Madrid Lager,Lager - Helles,5.0,22,3.0,3.17,0
Doggie Style,Pale Ale - American,5.5,35,4.0,3.55,https://untappd.s3.amazonaws.com/photo/2014_01_14/3b2a066814203db541f01af3a806d92f_raw.jpg
Snake Dog IPA,IPA - American,7.1,60,3.5,3.6,https://untappd.s3.amazonaws.com/photo/2014_01_16/63716dcf49377030631b138571e39334_raw.jpg
Luppo,IPA - Belgian,6.5,45,3.5,3.44,https://untappd.s3.amazonaws.com/photo/2014_01_18/2ddc09b29642fb1fd9105a3f39d73a0d_raw.jpg
Modelo Negra,Lager - Vienna,5.4,16,4.0,3.29,https://untappd.s3.amazonaws.com/photo/2014_01_19/8f357d79ebe3af8a8b83ac28b7baea96_raw.jpg
Pacífico Clara,Lager - American,4.5,15,3.5,3.13,https://untappd.s3.amazonaws.com/photo/2014_01_19/d2c06c3bc52bd9a04c8c5615ee1532d1_raw.jpg
Pêche / Pêcheresse,Lambic - Fruit,2.5,10,2.0,3.58,https://untappd.s3.amazonaws.com/photo/2014_01_22/229247f0c0c96f278c1af58e9323467f_raw.jpg
Ghost Ship,Pale Ale - English,4.5,40,3.5,3.52,https://untappd.s3.amazonaws.com/photo/2014_01_22/a8fb3a6084356454a9e5a1f5ef2b133a_raw.jpg
Jack Brand Innovation,IPA - American,6.7,0,3.0,3.45,https://untappd.s3.amazonaws.com/photo/2014_01_23/ad232d80d919538bdfee1c08d08aa4b4_raw.jpg
Helleketel,Belgian Strong Golden Ale,7.0,0,3.5,3.28,https://untappd.s3.amazonaws.com/photo/2014_01_24/49d6092ae22b59390538b3fd803b5dd1_raw.jpg
IPA,IPA - American,6.8,35,2.0,3.76,https://untappd.s3.amazonaws.com/photo/2014_01_25/695663eaa3a604afd7b0d76233843e3d_raw.jpg
Tripel Karmeliet,Belgian Tripel,8.4,16,2.0,4.0,https://untappd.s3.amazonaws.com/photo/2014_01_25/45e5f5da8a582e817c530bbe99be96ce_raw.jpg
Gose,Sour - Gose,4.0,5,4.0,3.93,https://untappd.s3.amazonaws.com/photo/2014_01_25/9fda3cb7943a699c03cd95920869d666_raw.jpg
Hoponius Union,Lager - IPL (India Pale Lager),6.5,65,4.5,3.81,https://untappd.s3.amazonaws.com/photo/2014_01_25/0045f4d87f00d6b7d1a804bc6f40ce90_raw.jpg
Krušovice Imperial 5.0%,Pilsner - Czech,5.0,28,4.0,3.15,https://untappd.s3.amazonaws.com/photo/2014_01_26/6099555bb9a7b0af2534bf631eddab52_raw.jpg
Sparkling Ale,Australian Sparkling Ale,5.8,35,4.5,3.21,https://untappd.s3.amazonaws.com/photo/2014_01_26/d4ecbab227ab0d77f8f314da45dd9842_raw.jpg
Broadside,English Bitter,4.7,33,3.5,3.48,https://untappd.s3.amazonaws.com/photo/2014_01_31/6f65045f949004f1ede0e87e0990a7eb_raw.jpg
Cruzcampo Gran Reserva,Pilsner - Imperial / Double,6.4,0,4.0,3.11,https://untappd.s3.amazonaws.com/photo/2014_02_01/1381eb06f56bcbbce96026d6d8fe43a4_raw.jpg
Estrella Galicia Especial,Lager - Helles,5.5,25,3.5,3.12,https://untappd.s3.amazonaws.com/photo/2014_02_02/f7fa4089669e679d30b7a0298f9bf1c1_raw.jpg
Weiss Damm,Hefeweizen,4.8,0,2.0,3.23,0
Murphy's Irish Red,Red Ale - Irish,5.0,0,3.5,3.29,https://untappd.s3.amazonaws.com/photo/2014_02_03/717872edb5303ca470fd8b3c1f0fbd58_raw.jpg
Leffe Blonde / Blond,Belgian Blonde,6.6,20,4.0,3.59,https://untappd.s3.amazonaws.com/photo/2014_02_03/d86ebec89d3500788d68ea748b0fa741_raw.jpg
Guinness Draught,Stout - Irish Dry,4.2,45,4.0,3.78,0
Birra Moretti L'Autentica,Lager - Pale,4.6,12,3.5,3.12,https://untappd.s3.amazonaws.com/photo/2014_02_05/340e386b1fd6385a9c973d6a0a051e35_raw.jpg
Paulaner Hefe-Weißbier / Hefe-Weizen / Weissbier,Hefeweizen,5.5,16,3.5,3.67,https://untappd.s3.amazonaws.com/photo/2014_02_05/6e382744e6e9a53113162a6297e2f31b_raw.jpg
Warsteiner Premium Verum / German Pilsener,Pilsner - German,4.8,28,4.0,3.2,https://untappd.s3.amazonaws.com/photo/2014_02_05/75f7e9ea98f803ea31885d3edd2aecc9_raw.jpg
Cruzcampo Gran Reserva,Pilsner - Imperial / Double,6.4,0,4.0,3.11,0
Cruzcampo Gran Reserva,Pilsner - Imperial / Double,6.4,0,4.0,3.11,0
Cruzcampo Pilsen,Pilsner - Other,4.8,20,2.5,2.76,0
Cruzcampo Pilsen,Pilsner - Other,4.8,20,2.5,2.76,0
Budweiser Budvar B:ORIGINAL / Czechvar B:ORIGINAL,Pilsner - Czech,5.0,32,3.5,3.27,https://untappd.s3.amazonaws.com/photo/2014_02_07/e6566b7dff0533d966c0117c29115fce_raw.jpg
Warsteiner Premium Verum / German Pilsener,Pilsner - German,4.8,28,4.0,3.2,https://untappd.s3.amazonaws.com/photo/2014_02_07/635a4cd8c3e5446aa529fab913dc7c9f_raw.jpg
Franziskaner Premium Weissbier Naturtrüb,Hefeweizen,5.0,12,3.0,3.71,https://untappd.s3.amazonaws.com/photo/2014_02_08/5d918d9650f55f18eca420685908dc88_raw.jpg
Erdinger Weißbier / Hefe-Weizen,Hefeweizen,5.3,13,3.5,3.66,https://untappd.s3.amazonaws.com/photo/2014_02_08/ced3455e8f33efd63945d34eda5ea9b3_raw.jpg
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,0
India Pale Ale / London IPA,IPA - English,7.4,65,4.5,3.38,https://untappd.s3.amazonaws.com/photo/2014_02_14/50cbb6057f2395c7b8cae4abb8859904_raw.jpg
El Alcázar,Pilsner - Other,4.5,30,3.0,2.89,0
Regia,Pale Ale - English,4.8,25,3.5,3.22,https://untappd.s3.amazonaws.com/photo/2014_02_17/d6569057d0d61a6fed14783870f9d9a4_raw.jpg
Bataille,Farmhouse Ale - Bière de Garde,6.7,0,3.5,3.85,https://untappd.s3.amazonaws.com/photo/2014_02_18/4bf9633dcc4681e6b26982e4c286343a_raw.jpg
La Vache Folle: RyePA,Rye Beer,6.0,50,5.0,3.62,https://untappd.s3.amazonaws.com/photo/2014_02_18/bb09d720bacd9f95afd83861140ea8fd_raw.jpg
Hoppy Joe,Red Ale - American Amber / Red,4.7,40,4.0,3.47,https://untappd.s3.amazonaws.com/photo/2014_02_18/b2238b4203562d1f8a4bf52f2e2f6b52_raw.jpg
Kriek Brut,Fruit Beer,6.0,0,4.0,3.75,https://untappd.s3.amazonaws.com/photo/2014_02_18/bf4d765ec65ea33af7dc32a1c7b0a9c8_raw.jpg
Luppo,IPA - Belgian,6.5,45,3.5,3.44,0
Beer4Wedding Tontaube Nødutgang,Red Ale - American Amber / Red,5.9,0,4.0,0.0,https://untappd.s3.amazonaws.com/photo/2014_02_21/675d5ec2cf36a840e294cd32e323bb5c_raw.jpg
Cruzcampo Gran Reserva,Pilsner - Imperial / Double,6.4,0,4.0,3.11,0
Cruzcampo Gran Reserva,Pilsner - Imperial / Double,6.4,0,4.0,3.11,0
Cruzcampo Pilsen,Pilsner - Other,4.8,20,2.5,2.76,https://untappd.s3.amazonaws.com/photo/2014_02_23/e2eb9c2801e8c458d432ea2b54899d0e_raw.jpg
Salvator,Bock - Doppelbock,7.9,28,3.5,3.61,https://untappd.s3.amazonaws.com/photo/2014_02_23/1bb5612f52a9417726e3fa09b281851a_raw.jpg
Zwickelbier,Kellerbier / Zwickelbier,5.2,26,4.0,3.29,https://untappd.s3.amazonaws.com/photo/2014_02_23/695be93353ac1eca7e4b547a439cb70d_raw.jpg
Warsteiner Premium Verum / German Pilsener,Pilsner - German,4.8,28,3.5,3.2,0
Guinness Draught,Stout - Irish Dry,4.2,45,4.0,3.78,0
Mahou Cinco Estrellas,Lager - Pale,5.5,27,2.5,2.93,0
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,0
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,0
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,0
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,0
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,0
Las Muy Perras Blanca De Trigo,Wheat Beer - Witbier,5.8,20,3.0,3.33,https://untappd.s3.amazonaws.com/photo/2014_02_26/46251707cbc948ba2ed041e20e36763f_raw.jpg
Undead Remastered!,IPA - Imperial / Double,9.0,120,4.0,3.85,https://untappd.s3.amazonaws.com/photo/2014_02_27/8ae3a2130f11d591eb6843128107a5ba_raw.jpg
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,0
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,0
Mahou Clásica,Lager - Pale,4.8,0,1.5,2.81,0
Mahou Clásica,Lager - Pale,4.8,0,2.0,2.81,0
Mahou Clásica,Lager - Pale,4.8,0,2.0,2.81,0
La Axarca,Pale Ale - American,5.0,30,4.5,3.68,https://untappd.s3.amazonaws.com/photo/2014_02_28/4c25605f91897b2fff0e81f54f64f2d1_raw.jpg
Stereovision,Wheat Beer - American Pale Wheat,5.5,0,3.5,3.36,https://untappd.s3.amazonaws.com/photo/2014_02_28/31b7436a9e598f24f76f5f8c2c149ad0_raw.jpg
FL(IPA),IPA - American,6.2,60,3.5,3.71,https://untappd.s3.amazonaws.com/photo/2014_02_28/9b09e977520fc0dbaee66a871f604477_raw.jpg
Malasaña Ale ,Pale Ale - American,5.4,45,3.0,3.67,https://untappd.s3.amazonaws.com/photo/2014_02_28/0c554ab2868c601cdc196683d2c14259_raw.jpg
Cruzcampo Pilsen,Pilsner - Other,4.8,20,2.5,2.76,https://untappd.s3.amazonaws.com/photo/2014_02_28/f5948219a49102005efb64f2beccfe56_raw.jpg
Cruzcampo Pilsen,Pilsner - Other,4.8,20,2.5,2.76,0
Mahou Cinco Estrellas,Lager - Pale,5.5,27,2.5,2.93,0
Mahou Cinco Estrellas,Lager - Pale,5.5,27,2.5,2.93,0
Holandesa,Blonde Ale,4.8,0,1.5,2.44,https://untappd.s3.amazonaws.com/photo/2014_03_02/5e5a70df003649e08c45e514aafddd8b_raw.jpg
Budweiser,Lager - American,5.0,12,3.5,2.57,0
Mahou Clásica,Lager - Pale,4.8,0,2.0,2.81,0
Holandesa,Blonde Ale,4.8,0,1.5,2.44,0
Mahou Clásica,Lager - Pale,4.8,0,2.0,2.81,0
Dia Lager,Lager - Euro Pale,4.8,0,0.5,2.23,0
Napar Pale Ale,Pale Ale - American,4.4,60,4.5,3.51,https://untappd.s3.amazonaws.com/photo/2014_03_02/a027ea8ffd6474bc6758e6931fa02131_raw.jpg
Blanche de Namur,Wheat Beer - Witbier,4.5,11,3.5,3.43,https://untappd.s3.amazonaws.com/photo/2014_03_04/87222202bdfdde6a51c8a1edeb3abb56_raw.jpg
Especial 1516,Lager - Pale,5.8,0,2.0,2.28,https://untappd.s3.amazonaws.com/photo/2014_03_04/45b471833ede40d34e5ce210b0ade223_raw.jpg
Especial 1516,Lager - Pale,5.8,0,0.5,2.28,0
Extra 7%,Pilsner - Other,7.0,0,1.5,2.54,https://untappd.s3.amazonaws.com/photo/2014_03_04/b2a9734a60958e60d9b969a630c8d3bc_raw.jpg
Extra 7%,Pilsner - Other,7.0,0,1.5,2.54,0
Amstel,Lager - Euro Pale,5.0,21,2.0,2.85,https://untappd.s3.amazonaws.com/photo/2014_03_05/a440cc3c7961b1edd35a9dd5087fcee4_raw.jpg
Amstel Extra,Lager - Strong,7.5,0,3.0,2.85,https://untappd.s3.amazonaws.com/photo/2014_03_05/08a260345cc0222eeab4d2f287a58915_raw.jpg
Extra 7%,Pilsner - Other,7.0,0,1.5,2.54,0
Estrella Galicia Especial,Lager - Helles,5.5,25,3.5,3.12,0
Estrella Galicia Especial,Lager - Helles,5.5,25,3.5,3.12,0
Yanjing Beer,Lager - Pale,5.0,18,3.0,2.61,https://untappd.s3.amazonaws.com/photo/2014_03_07/c0f0209eee4f1a9c034c416c86e0374c_raw.jpg
Especial 1516,Lager - Pale,5.8,0,0.5,2.28,0
Plain Porter,Porter - Other,4.2,33,4.0,3.54,0
Trooper,Extra Special / Strong Bitter,4.7,35,5.0,3.37,https://untappd.s3.amazonaws.com/photo/2014_03_07/9d26837430112b0337dfbccc787301dc_raw.jpg
Weihenstephaner Hefeweissbier,Hefeweizen,5.4,14,3.0,3.8,https://untappd.s3.amazonaws.com/photo/2014_03_07/2a973095bdee96adce987d3c0b2a7ff4_raw.jpg
Spaten Premium Bock,Bock - Single / Traditional,6.5,0,4.0,3.41,https://untappd.s3.amazonaws.com/photo/2014_03_07/ea75f79db24abb47d06bce6af964fa4c_raw.jpg
Samuel Adams Boston Lager,Lager - Vienna,5.0,30,5.0,3.42,https://untappd.s3.amazonaws.com/photo/2014_03_07/31c7ab6a5ba542b7903a35bfb70807c1_raw.jpg
Hannen Alt,Altbier,4.8,0,3.5,3.06,https://untappd.s3.amazonaws.com/photo/2014_03_07/acd4bbf1baa85f803c0c97efedd8b21b_raw.jpg
Gueuze 100% Lambic Bio,Lambic - Gueuze,5.0,0,4.0,4.21,https://untappd.s3.amazonaws.com/photo/2014_03_08/6e5497fe2251e060fb9e6d56769ec32c_raw.jpg
Yanjing Beer,Lager - Pale,5.0,18,3.0,2.61,0
Mahou Clásica,Lager - Pale,4.8,0,2.0,2.81,0
Dos Equis Lager Especial,Lager - American,4.5,10,2.5,3.09,https://untappd.s3.amazonaws.com/photo/2014_03_09/d42c6ff508d6a5e1e8a3c2eb67884343_raw.jpg
Orval,Pale Ale - Belgian,6.2,36,3.5,3.72,https://untappd.s3.amazonaws.com/photo/2014_03_09/ed29659b783be252e0f74a596ab28fa9_raw.jpg
Valeir Extra,IPA - Belgian,6.5,0,3.5,3.48,https://untappd.s3.amazonaws.com/photo/2014_03_09/6e38da03f4b5166126cf3a53417cb5fb_raw.jpg
Asahi Super Dry,Lager - Japanese Rice,5.2,20,3.5,3.08,https://untappd.s3.amazonaws.com/photo/2014_03_09/475f2f9d9ed2c429104919aeb0493eab_raw.jpg
Ichiban (Ichiban Shibori) (一番搾り),Lager - Pale,5.0,18,3.0,3.12,https://untappd.s3.amazonaws.com/photo/2014_03_09/d45a7d3ca90a21a8a30eeebca1f46036_raw.jpg
Kriek Lambic,Lambic - Kriek,4.0,0,1.0,3.46,https://untappd.s3.amazonaws.com/photo/2014_03_09/ab37bdc6be5c8d210884f9f49118d75d_raw.jpg
ZZ Amber Ale,Red Ale - American Amber / Red,5.5,50,5.0,3.52,https://untappd.s3.amazonaws.com/photo/2014_03_09/180c0becc1f296c65511cd054116b2d7_raw.jpg
Mahou Cinco Estrellas,Lager - Pale,5.5,27,2.5,2.93,0
Mahou Cinco Estrellas,Lager - Pale,5.5,27,2.5,2.93,0
